time_linear,memory_linear
0,0
392,16
393,240024
394,243136
395,248120
396,252424
397,257560
398,262392
399,267184
400,272232
401,272240
401,277192
402,277200
402,282152
403,282160
403,286904
404,286912
404,291464
405,291472
405,296392
406,296400
406,301488
407,301496
407,306440
408,306448
408,311592
409,311600
409,315592
410,315600
410,319992
411,320000
411,323952
412,323960
412,328280
413,328288
413,332376
414,332384
414,335848
415,335856
415,339192
416,339200
416,343592
417,343600
417,348168
418,348176
418,352560
419,352568
419,357504
420,357512
420,359992
420,360000
420,360008
420,360016
420,360016
420,120016
420,120000
